"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 07:29:22 GMT 2024","Fri Dec 20 07:29:23 GMT 2024","712","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"failed","Fri Dec 20 07:29:14 GMT 2024","Fri Dec 20 07:29:15 GMT 2024","876","test","test_checkout_page","TestCheckoutPage","","","Check checkout page and back home page",""
"passed","Fri Dec 20 07:29:24 GMT 2024","Fri Dec 20 07:29:25 GMT 2024","859","test","test_main_page","TestMainPage","","","Test checking random items in cart",""
"passed","Fri Dec 20 07:29:11 GMT 2024","Fri Dec 20 07:29:12 GMT 2024","874","test","test_cart_page","TestCartPage","","","Check all product in your cart",""
"passed","Fri Dec 20 07:29:19 GMT 2024","Fri Dec 20 07:29:19 GMT 2024","415","test","test_login_page","TestLoginPage","","","Check error message for invalid data",""
"passed","Fri Dec 20 07:29:20 GMT 2024","Fri Dec 20 07:29:21 GMT 2024","718","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Fri Dec 20 07:29:17 GMT 2024","Fri Dec 20 07:29:18 GMT 2024","486","test","test_login_page","TestLoginPage","","","Login user",""
"failed","Fri Dec 20 07:29:15 GMT 2024","Fri Dec 20 07:29:16 GMT 2024","877","test","test_checkout_page","TestCheckoutPage","","","Check fields checkout page and fill data",""
"failed","Fri Dec 20 07:29:16 GMT 2024","Fri Dec 20 07:29:17 GMT 2024","877","test","test_finish_page","TestFinishPage","","","end to end path for business proces",""
"passed","Fri Dec 20 07:29:18 GMT 2024","Fri Dec 20 07:29:19 GMT 2024","538","test","test_login_page","TestLoginPage","","","Check error message in login page",""
"passed","Fri Dec 20 07:29:25 GMT 2024","Fri Dec 20 07:29:26 GMT 2024","978","test","test_overview_page","TestOverviewPage","","","Check all price of  overview page",""
"passed","Fri Dec 20 07:29:13 GMT 2024","Fri Dec 20 07:29:13 GMT 2024","822","test","test_cart_page","TestCartPage","","","Remove items in cart",""
"passed","Fri Dec 20 07:29:23 GMT 2024","Fri Dec 20 07:29:24 GMT 2024","686","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Fri Dec 20 07:29:21 GMT 2024","Fri Dec 20 07:29:22 GMT 2024","712","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
