"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 07:31:43 GMT 2024","Fri Dec 20 07:31:44 GMT 2024","537","test","test_login_page","TestLoginPage","","","Check error message in login page",""
"passed","Fri Dec 20 07:31:45 GMT 2024","Fri Dec 20 07:31:46 GMT 2024","711","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Fri Dec 20 07:31:49 GMT 2024","Fri Dec 20 07:31:50 GMT 2024","858","test","test_main_page","TestMainPage","","","Test checking random items in cart",""
"failed","Fri Dec 20 07:31:40 GMT 2024","Fri Dec 20 07:31:41 GMT 2024","870","test","test_checkout_page","TestCheckoutPage","","","Check fields checkout page and fill data",""
"passed","Fri Dec 20 07:31:43 GMT 2024","Fri Dec 20 07:31:43 GMT 2024","470","test","test_login_page","TestLoginPage","","","Login user",""
"passed","Fri Dec 20 07:31:48 GMT 2024","Fri Dec 20 07:31:49 GMT 2024","675","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Fri Dec 20 07:31:37 GMT 2024","Fri Dec 20 07:31:37 GMT 2024","914","test","test_cart_page","TestCartPage","","","Check all product in your cart",""
"failed","Fri Dec 20 07:31:39 GMT 2024","Fri Dec 20 07:31:40 GMT 2024","873","test","test_checkout_page","TestCheckoutPage","","","Check checkout page and back home page",""
"passed","Fri Dec 20 07:31:44 GMT 2024","Fri Dec 20 07:31:45 GMT 2024","426","test","test_login_page","TestLoginPage","","","Check error message for invalid data",""
"failed","Fri Dec 20 07:31:41 GMT 2024","Fri Dec 20 07:31:42 GMT 2024","875","test","test_finish_page","TestFinishPage","","","end to end path for business proces",""
"passed","Fri Dec 20 07:31:50 GMT 2024","Fri Dec 20 07:31:51 GMT 2024","1000","test","test_overview_page","TestOverviewPage","","","Check all price of  overview page",""
"passed","Fri Dec 20 07:31:47 GMT 2024","Fri Dec 20 07:31:48 GMT 2024","708","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Fri Dec 20 07:31:38 GMT 2024","Fri Dec 20 07:31:39 GMT 2024","822","test","test_cart_page","TestCartPage","","","Remove items in cart",""
"passed","Fri Dec 20 07:31:46 GMT 2024","Fri Dec 20 07:31:47 GMT 2024","725","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
