"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 20 07:49:14 GMT 2024","Fri Dec 20 07:49:14 GMT 2024","855","test","test_checkout_page","TestCheckoutPage","","","Check fields checkout page and fill data",""
"failed","Fri Dec 20 07:49:15 GMT 2024","Fri Dec 20 07:49:16 GMT 2024","907","test","test_finish_page","TestFinishPage","","","end to end path for business proces",""
"passed","Fri Dec 20 07:49:18 GMT 2024","Fri Dec 20 07:49:18 GMT 2024","425","test","test_login_page","TestLoginPage","","","Check error message for invalid data",""
"passed","Fri Dec 20 07:49:16 GMT 2024","Fri Dec 20 07:49:17 GMT 2024","483","test","test_login_page","TestLoginPage","","","Login user",""
"passed","Fri Dec 20 07:49:17 GMT 2024","Fri Dec 20 07:49:17 GMT 2024","548","test","test_login_page","TestLoginPage","","","Check error message in login page",""
"passed","Fri Dec 20 07:49:22 GMT 2024","Fri Dec 20 07:49:22 GMT 2024","693","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Fri Dec 20 07:49:09 GMT 2024","Fri Dec 20 07:49:11 GMT 2024","1582","test","test_cart_page","TestCartPage","","","Check all product in your cart",""
"failed","Fri Dec 20 07:49:12 GMT 2024","Fri Dec 20 07:49:13 GMT 2024","898","test","test_checkout_page","TestCheckoutPage","","","Check checkout page and back home page",""
"passed","Fri Dec 20 07:49:21 GMT 2024","Fri Dec 20 07:49:21 GMT 2024","719","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Fri Dec 20 07:49:11 GMT 2024","Fri Dec 20 07:49:12 GMT 2024","836","test","test_cart_page","TestCartPage","","","Remove items in cart",""
"passed","Fri Dec 20 07:49:23 GMT 2024","Fri Dec 20 07:49:24 GMT 2024","881","test","test_main_page","TestMainPage","","","Test checking random items in cart",""
"passed","Fri Dec 20 07:49:24 GMT 2024","Fri Dec 20 07:49:25 GMT 2024","1027","test","test_overview_page","TestOverviewPage","","","Check all price of  overview page",""
"passed","Fri Dec 20 07:49:19 GMT 2024","Fri Dec 20 07:49:19 GMT 2024","713","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
"passed","Fri Dec 20 07:49:20 GMT 2024","Fri Dec 20 07:49:20 GMT 2024","722","test","test_main_page","TestMainPage","","","Test main page checking for filter",""
